OpenTime,Open,High,Low,Close,Volume,CloseTime
2021-10-16 04:00:00,61448.92000000,61560.00000000,61200.00000000,61393.07000000,1278.05669000,2021-10-16 04:59:59.999000
2021-10-16 05:00:00,61393.07000000,61735.94000000,61120.00000000,61618.37000000,1346.24128000,2021-10-16 05:59:59.999000
2021-10-16 06:00:00,61618.38000000,61742.04000000,61360.22000000,61655.99000000,1004.49667000,2021-10-16 06:59:59.999000
2021-10-16 07:00:00,61655.99000000,62178.97000000,61551.31000000,61747.64000000,1562.50432000,2021-10-16 07:59:59.999000
2021-10-16 08:00:00,61747.64000000,62378.42000000,61721.30000000,62133.82000000,1607.02426000,2021-10-16 08:59:59.999000
2021-10-16 09:00:00,62133.83000000,62319.77000000,61856.00000000,61856.00000000,1178.69805000,2021-10-16 09:59:59.999000
2021-10-16 10:00:00,61856.01000000,61975.29000000,61562.87000000,61733.96000000,1162.85485000,2021-10-16 10:59:59.999000
2021-10-16 11:00:00,61733.96000000,62062.55000000,61446.39000000,61529.95000000,2428.79926000,2021-10-16 11:59:59.999000
2021-10-16 12:00:00,61529.94000000,61650.00000000,61385.42000000,61424.73000000,1850.65794000,2021-10-16 12:59:59.999000
2021-10-16 13:00:00,61424.72000000,61684.98000000,61324.79000000,61536.07000000,1569.99882000,2021-10-16 13:59:59.999000
2021-10-16 14:00:00,61536.07000000,61762.63000000,61430.00000000,61597.26000000,1352.99948000,2021-10-16 14:59:59.999000
2021-10-16 15:00:00,61597.26000000,61605.81000000,60398.73000000,60679.14000000,3799.57016000,2021-10-16 15:59:59.999000
2021-10-16 16:00:00,60679.14000000,61100.00000000,60521.00000000,61017.59000000,2097.98682000,2021-10-16 16:59:59.999000
2021-10-16 17:00:00,61017.61000000,61270.11000000,60750.00000000,60887.55000000,1657.39951000,2021-10-16 17:59:59.999000
2021-10-16 18:00:00,60887.55000000,61130.00000000,60642.59000000,60941.04000000,1533.33516000,2021-10-16 18:59:59.999000
2021-10-16 19:00:00,60941.04000000,61048.97000000,60515.91000000,60643.17000000,1110.38913000,2021-10-16 19:59:59.999000
2021-10-16 20:00:00,60643.17000000,60705.19000000,60150.00000000,60593.01000000,1939.75784000,2021-10-16 20:59:59.999000
2021-10-16 21:00:00,60593.00000000,61215.64000000,60512.26000000,61055.65000000,1146.72748000,2021-10-16 21:59:59.999000
2021-10-16 22:00:00,61055.65000000,61085.81000000,60808.10000000,60834.34000000,710.60376000,2021-10-16 22:59:59.999000
